episode,agent,opponent,goals_scored,goals_conceded,result
0,base,no_limit,3,2,win
0,no_limit,base,3,2,win
1,base,no_limit,3,2,win
1,no_limit,base,2,3,lose
2,base,no_limit,3,2,win
2,no_limit,base,3,2,win
3,base,no_limit,3,2,win
3,no_limit,base,2,3,lose
4,base,no_limit,3,2,win
4,no_limit,base,3,2,win
5,base,no_limit,3,2,win
5,no_limit,base,3,2,win
6,base,no_limit,3,2,win
6,no_limit,base,3,2,win
7,base,no_limit,3,2,win
7,no_limit,base,3,2,win
8,base,no_limit,3,2,win
8,no_limit,base,2,3,lose
9,base,no_limit,3,2,win
9,no_limit,base,2,3,lose
10,base,no_limit,2,3,lose
10,no_limit,base,2,3,lose
11,base,no_limit,3,2,win
11,no_limit,base,3,2,win
12,base,no_limit,3,2,win
12,no_limit,base,2,3,lose
13,base,no_limit,3,2,win
13,no_limit,base,1,4,lose
14,base,no_limit,3,2,win
14,no_limit,base,2,3,lose
15,base,no_limit,2,3,lose
15,no_limit,base,3,2,win
16,base,no_limit,2,3,lose
16,no_limit,base,2,3,lose
17,base,no_limit,3,2,win
17,no_limit,base,2,3,lose
18,base,no_limit,3,2,win
18,no_limit,base,2,3,lose
19,base,no_limit,2,3,lose
19,no_limit,base,2,3,lose
20,base,no_limit,3,2,win
20,no_limit,base,3,2,win
21,base,no_limit,2,3,lose
21,no_limit,base,3,2,win
22,base,no_limit,2,3,lose
22,no_limit,base,3,2,win
23,base,no_limit,2,3,lose
23,no_limit,base,2,3,lose
24,base,no_limit,3,2,win
24,no_limit,base,3,2,win
25,base,no_limit,3,2,win
25,no_limit,base,3,2,win
26,base,no_limit,3,2,win
26,no_limit,base,2,3,lose
27,base,no_limit,2,3,lose
27,no_limit,base,3,2,win
28,base,no_limit,3,2,win
28,no_limit,base,2,3,lose
29,base,no_limit,3,2,win
29,no_limit,base,2,3,lose
30,base,no_limit,3,2,win
30,no_limit,base,3,2,win
31,base,no_limit,2,3,lose
31,no_limit,base,2,3,lose
32,base,no_limit,2,3,lose
32,no_limit,base,3,2,win
33,base,no_limit,3,2,win
33,no_limit,base,2,3,lose
34,base,no_limit,3,2,win
34,no_limit,base,2,3,lose
35,base,no_limit,3,2,win
35,no_limit,base,3,2,win
36,base,no_limit,4,1,win
36,no_limit,base,3,2,win
37,base,no_limit,3,2,win
37,no_limit,base,2,3,lose
38,base,no_limit,2,3,lose
38,no_limit,base,3,2,win
39,base,no_limit,3,2,win
39,no_limit,base,2,3,lose
40,base,no_limit,3,2,win
40,no_limit,base,3,2,win
41,base,no_limit,3,2,win
41,no_limit,base,3,2,win
42,base,no_limit,3,2,win
42,no_limit,base,2,3,lose
43,base,no_limit,2,3,lose
43,no_limit,base,2,3,lose
